Player_name;IP_address_player;TV_name;IP_address_tv;Location;Note;Time_1;Command_1;Time_2;Command_2;Time_3;Command_3;Time_4;Command_4;Time_5;Command_5;Time_6;Command_6;Time_7;Command_7;Time_8;Command_8;Time_9;Command_9;Time_10;Command_10;Time_11;Command_11;Time_12;Command_12;Time_13;Command_13;Time_14;Command_14;Time_15;Command_15;Time_16;Command_16;Time_17;Command_17;Time_18;Command_18;Time_19;Command_19;Time_20;Command_20
PB1489;-;-;-;-;-;5 12 * * *;LCD confitv_power_saving_modeguration;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB1490;172.18.420.20;Samsung QM43R;172.18.420.30;Wien, Bernhard Gasse 10;Kudlackova;5 12 * * *;LCD confitv_power_saving_modeguration;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB1491;-;-;-;-;-;5 12 * * *;LCD confitv_power_saving_modeguration;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB3910;-;-;-;Praha, Jihlavska 17;BlueTouch Media - test;5 12 * * *;LCD confitv_power_saving_modeguration;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB5389;-;-;-;-;-;5 12 * * *;LCD confitv_power_saving_modeguration;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB6139;-;-;-;-;-;5 12 * * *;LCD confitv_power_saving_modeguration;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB6275;-;-;-;-;-;5 12 * * *;LCD confitv_power_saving_modeguration;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB6276;-;-;-;-;-;5 12 * * *;LCD confitv_power_saving_modeguration;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB6277;-;-;-;-;-;5 12 * * *;LCD confitv_power_saving_modeguration;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB6278;-;-;-;-;-;5 12 * * *;LCD confitv_power_saving_modeguration;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB6296;-;-;-;-;-;5 12 * * *;LCD confitv_power_saving_modeguration;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB6297;-;-;-;-;-;5 12 * * *;LCD confitv_power_saving_modeguration;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB6295;172.18.130.20;-;172.18.130.30;-;Durr, Bregenz;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 0,6-23 * * * 0-6;tv_on_hdmi;30 5 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-4 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB1383;172.18.27.20;LG 55XS4J-B;172.18.27.30;Wien, Dresdner Straße  87;Baumuhlner;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 6-17 * * 0-4;tv_on_hdmi;-;tv_on_hdmi;*/15 8-11 * * 6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-4,18-23 * * 0-4;tv_off_hdmi;-;tv_off_hdmi;*/15 0-7,12-23 * * 6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB5706;172.18.103.20;LG 49XS4J-B;172.18.103.30;Graz, Kalchberggasse5 ;Strohmaier;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 7-17 * * 0-4;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-5,18-23 * * 0-4;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB1209;172.18.120.20;LG 49XS4J-B;172.18.120.30;Wien, Steinbauergasse36 112;Oezen;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 7-18 * * 0-6;tv_on_hdmi;30 6 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-5,19-23 * * 0-6;tv_off_hdmi;30 18 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB1919;172.18.77.20;LG 49XS4J-B;172.18.77.30;Moedling, Hauptstr.49 Modeling;Walentschka;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 7-18 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-5,19-23 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB5382;172.18.79.20;?;172.18.79.30;Bad Kleinkirchheim, Dorfstr.89 ;Oberdorfer;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 7-18 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-5,19-23 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB5384;172.18.115.20;LG 49XS4J-B;172.18.115.30;Wr.Neustadt, Wr.Neustadt ;Linshalm;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 6-18 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-4,19-23 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB5390;172.18.90.20;LG 49XS4F-B;172.18.90.30;Wr.Neustadt, Sonnwendg. Wr.Neustadt;Piringer;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 6-18 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-4,19-23 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB5699;172.18.116.20;LG 49XS4J-B;172.18.116.30;Linz, Ennsfeldstr.1 ;Taubel;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 7-18 * * 0-5;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-5,19-23 * * 0-5;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB5700;172.18.100.20;LG 49XS4J-B;172.18.100.30;Wien, DornacherStr.1 Linz;Miskovic;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 7-18 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-5,19-23 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB5710;172.18.114.20;LG 49XS4J-B;172.18.114.30;Wels, Kais Jos;Wendl;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 7-18 * * 0-6;tv_on_hdmi;30 6 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-5,19-23 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB6142;172.18.119.20;LG 49XS4J-B;172.18.119.30;Dornbirn, LustenauerStr.36 ;Hammerle;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 7-18 * * 0-5;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-5,19-23 * * 0-5;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB6279;-;-;-;-;-;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 7-18 * * 0-6;tv_on_hdmi;30 6 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-5,19-23 * * 0-6;tv_off_hdmi;30 18 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB1212;172.18.21.20;LG 55WX30MW;172.18.21.30;Wr. Neustadt, Marktgasse 2;Lampee;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 8-19 * * 0-6;tv_on_hdmi;30 7 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-6,20-23 * * 0-6;tv_off_hdmi;30 19 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB1385;172.18.65.20;Samsung QM49R;172.18.65.30;Wien, Columbusplatz7 8;Bohuslavek;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 8-19 * * 0-4;tv_on_hdmi;30 7 * * 0-4;tv_on_hdmi;*/15 7-17 * * 6;tv_on_hdmi;30 8 * * 6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-6,20-23 * * 0-4;tv_off_hdmi;-;tv_off_hdmi;*/15 0-6,18-23 * * 6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB1648;172.18.4.20;Philips 49BDL5055P;172.18.4.30;Wien, Ignaz Kőck Str. 1 ;Olah;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 8-19 * * 0-5;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-6,20-23 * * 0-5;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB3724;172.18.74.20;LG 49XS4J-B;172.18.74.30;Wien, Johnstr.45 1150;Ofner;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 6-19 * * 0-6;tv_on_hdmi;30 5 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-4,20-23 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB4883;172.18.87.20;LG 55XS4J-B;172.18.87.30;St.Pölten, R ;Stein;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 7-19 * * 0-5;tv_on_hdmi;30 6 * * 0-5;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-5,20-23 * * 0-5;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB4891;172.18.76.20;Dynascan 421LT4B1;172.18.76.30;Wien, Mariahilferstr.125 1060;exGabriel;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 7-19 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-5,20-23 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB4892;172.18.42.20;LG 55XS4J-B;172.18.42.30;Wien, Hofmuehlgasse 1060;Lovisa;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 7-19 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-5,20-23 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB5383;172.18.106.20;LG 55XS4J-B;172.18.106.30;Rankweil, Rankweil ;Friedrich;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 6-19 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-4,20-23 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB5385;172.18.71.20;LG 49XS4J-B;172.18.71.30;Wien, SpeisingerStr.1353 ;Blumauer;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 7-19 * * 0-4;tv_on_hdmi;-;tv_on_hdmi;*/15 7-18 * * 0,6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-5,20-23 * * 0-4;tv_off_hdmi;-;tv_off_hdmi;*/15 0-6,19-23 * * 0,6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB5396;172.18.85.20;LG 55XS4J-B;172.18.85.30;Wels, Eferdingerstr.22 Wels;Pensel;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 7-19 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-5,20-23 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB5691;172.18.44.20;LG 55XS4J-B;172.18.44.30;Wien, Kettenbrueckengasse 1050;AbuAisch;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 7-19 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-5,20-23 * * 0-6;tv_off_hdmi;30 19 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB5694;172.18.108.20;LG 49XS4J-B;172.18.108.30;Graz, Griesplatz12 Graz;Huber;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 7-19 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-5,20-23 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB5696;172.18.113.20;LG 55XS4J-B;172.18.113.30;Villach, St.Magdal.Str. Villach;Weiss;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 6-19 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-4,20-23 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
PB5698;172.18.104.20;LG 49XS4J-B;172.18.104.30;Wien, Maerzstr. 1150;Prankl;5 12 * * *;LCD confitv_power_saving_modeguration;*/15 6-19 * * 0-6;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;-;tv_on_hdmi;*/15 0-4,20-23 * * 0-6;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;-;tv_off_hdmi;;;;;;;;;;;;;;
